priority,name,scope,contracts,website,status,verdict,reason
36,HHFC Healthcare Limited,Local,1,https://hfhchealthcare.com/,pending,,
37,Hallam24 Healthcare Ltd,Local,1,http://hallam24healthcare.co.uk/,pending,,
38,Healthcare Access Ltd,Local,1,http://www.healthcareaccessltd.co.uk/,pending,,
39,Highlea Care Ltd,Local,1,https://nationalcaregroup.com/service//highlea-care-shildon/,pending,,
40,Hillside Care Services Community Interest Company (CIC),Local,1,https://hillsidecare.co.uk/,pending,,
41,I Care Solutions,Local,1,https://icaresolutionsnw.co.uk/,pending,,
42,Icrit Healthcare Ltd,Local,1,https://www.icrithealthcare.co.uk/,pending,,
43,Into Care Limited,Local,1,https://intocareltd.co.uk/,pending,,
44,Karva Care Services Limited,Local,1,http://www.karvacare.co.uk/,pending,,
45,KPR Care Services ltd,Local,1,http://kpr.global/,pending,,
46,Key 2 Care Limited t/a Derbyshire Care Services,Local,1,http://www.key2care.co.uk/,pending,,
47,Kingswood Care Services Limited,Local,1,https://www.kingswoodcare.co.uk/,pending,,
48,Lordgrace Delight Healthcare Limited,Local,1,http://lordgraceltd.co.uk/,pending,,
49,Lily of the Valley Care Ltd,Local,1,https://www.lilyofthevalleycare.co.uk/,pending,,
50,Line Of Sight Care Limited,Local,1,https://www.lineofsightcare.co.uk/,pending,,
51,Living Hope Healthcare Ltd,Local,1,https://www.livinghopehealthcareltd.co.uk/,pending,,
52,Lorablooms Care Services Limited,Local,1,https://www.bloomscare.uk/,pending,,
53,Maison Care Limited,Local,1,http://www.maisoncare.co.uk/,pending,,
54,Maria Mallaband Care Group (MMCG) & Countrywide,Local,1,https://www.mmcgcarehomes.co.uk/,pending,,
55,Mary Ruth Care Services Limited,Local,1,https://maryruthcareservices.co.uk/,pending,,
56,Merit Care Ltd,Local,1,http://www.meritcare.co.uk/,pending,,
57,Moniks Care Services Limited,Local,1,http://www.mccareservices.com/,pending,,
58,Naid Care Limited,Local,1,https://naidcare.co.uk/new/,pending,,
59,Optimum Healthcare Limited,Local,1,http://optimumhealthcareuk.co.uk/,pending,,
60,P & T Care Solutions Ltd,Local,1,http://www.pandtcares4u.uk/,pending,,
61,P.G.S Healthcare Limited,Local,1,http://www.gphealthcareltd.com/,pending,,
62,Prof-care Limited,Local,1,http://www.prof-care.com/,pending,,
63,Parkside Care Ltd,Local,1,http://www.parksidehome.co.uk/,pending,,
64,Pathways Care Group Limited t/a Clearwater Care - a Salutem Comp,Local,1,https://www.salutemcareandeducation.co.uk/,pending,,
65,Primrose Healthcare Solutions Services Limited,Local,1,https://primrosehealthcaresolutions.co.uk/,pending,,
66,Purified Hearts Care Services Ltd,Local,1,https://purifiedheartscare.co.uk/,pending,,
67,R&L healthcare,Local,1,https://www.rlhealthcare.co.uk/,pending,,
68,Redspot Care Limited,Local,1,https://www.redspotgroup.co.uk/,pending,,
69,Rapid Medical Care services ltd,Local,1,https://rmcareservices.co.uk/,pending,,
70,Right Care Services Ltd,Local,1,http://www.westcoastcare.co.uk/articles/article.php?sectionID=9&articleID=4,pending,,
71,SMS Healthcare Services Ltd t/a Everycare Romford,Local,1,http://www.everycare.co.uk/romford,pending,,
72,Support Health Care Ltd,Local,1,http://www.supporthealthcareservices.co.uk/,pending,,
73,SVP Health Care Ltd,Local,1,http://www.svphealthcare.co.uk/the-old-vicarage-north-shields/,pending,,
74,Sarah Care Ltd,Local,1,http://www.sarahcare.org/,pending,,
75,Seven Steps Healthcare Ltd,Local,1,http://sevenstepshealthcare.com/,pending,,
76,Sunset Rehabiltation Healthcare Centre and Trading Associates Lt,Local,1,https://sunrehabilitation.co.uk/,pending,,
77,Synergy Complex Care Ltd,Local,1,http://www.synergycrs.co.uk/,pending,,
78,Tigerlily Healthcare Limited,Local,1,https://tigerlilycare.co.uk/,pending,,
79,TLB247 Healthcare Ltd,Local,1,https://tlb247healthcare.co.uk/,pending,,
80,The Instrinsic Care Group,Local,1,https://theintrinsiccaregroup.com/,pending,,
81,The Intrinsic Care Group Limited,Local,1,https://theintrinsiccaregroup.com/,pending,,
82,Trends Healthcare,Local,1,http://www.trendshealthcare.co.uk/,pending,,
83,Unicorn Healthcare Services,Local,1,http://unicornhealthcareservices.co.uk/,pending,,
84,Valorum Care Group t/a Adjuvo Care and Support,Local,1,https://www.valorumcaregroup.com/,pending,,
85,Your Life Care Solutions,Local,1,http://yourlifecaresolutions.co.uk/,pending,,
86,stella Maris Healthcare,Local,1,http://stellamarishealthcare.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1131672058470281186,pending,,
87,Cfs Care Ltd,Local,1,http://cfscare.co.uk/,pending,,
88,247 Excellent Quality Care ltd,Local,1,https://www.247exceptionalcare.co.uk/,pending,,
89,ACH Healthcare Ltd,Local,1,https://achhealthcare.co.uk/,pending,,
90,ASHA Healthcare Ltd,Local,1,http://www.ashahealthcare.co.uk/,pending,,
91,Abimatic Care Ltd,Local,1,https://abimatic-care.co.uk/,pending,,
92,"Accomplish Group Support Ltd, Brookdale Healthcare Ltd (Trading",Local,1,https://accomplish-group.co.uk/,pending,,
93,Affinia Healthcare Limited,Local,1,http://affiniahealthcareltd.co.uk/,pending,,
94,Agrade Community Care Services Ltd (CQC Registered Non Enhanced,Local,1,http://agradecare.co.uk/,pending,,
95,Alpha Care Services Limited,Local,1,http://www.alphahealthcareservices.co.uk/,pending,,
